idhs,tinhtrang,mahs,idhs,mahs,vitri,,diachi,phuongxa,quanhuyen,tinhtp,ngaylap, dato_dientich , dato_dongia ,toadomaps
13935,9,L2503b,13935,L2503b,+ V? tr°: 1 (M?t ti?n ???ng Nguy?n Th??ng Hi?n),,10-12 Nguy?n Th??ng Hi?n,Ph??ng 1,Qu?n Gï V?p,H? Ch° Minh,2021-11-17 16:52:11.163, 275.61 ," 113,875,829.00 ","10.8163, 106.6883"
13938,9,L2589,13938,L2589,+ V? tr°: 1,,605 ?i?n Biàn Ph?,Ph??ng 25,Qu?n Bçnh Th?nh,H? Ch° Minh,2021-11-19 11:31:31.320, 76.43 ," 262,887,756.00 ","10.79889, 106.71987"
13986,9,L2627a,13986,L2627a,+ V? tr°: 1 (M?t ti?n ???ng Nguy?n V?n Tr?i),,307/7 Nguy?n V?n Tr?i,Ph??ng 1,Qu?n TÉn Bçnh,H? Ch° Minh,2021-11-19 12:21:35.843, 161.70 ," 391,176,496.00 ","10.799435,106.668671"
13720,9,L2391f,13720,L2391f,+ V? tr°: 1 ???ng s? 12,,"25A ???ng s? 12, kp2",Ph??ng T?ng Nh?n Ph£ B, Qu?n 9,H? Ch° Minh,2021-11-20 18:57:24.313, 97.00 ," 81,580,125.00 ","10.838039, 106.775538"
14422,9,L2961,14422,L2961,+ V? tr°: 1 (M?t ti?n ???ng Xì Vi?t Ngh? T?nh (?o?n t? Ng? t? HÖng Xanh - ?Öi Li?t S?)),,383 Xì Vi?t Ngh? T?nh,Ph??ng 24,Qu?n Bçnh Th?nh,H? Ch° Minh,2021-11-22 15:23:24.183, 79.60 ," 156,618,834.00 ","10.804609, 106.711381"
14507,9,L3028,14507,L3028,"+ V? tr°: 1, m?t ti?n ???ng s? 16",,"82 ???ng s? 16, kp2",Ph??ng Bçnh H?ng Hïa,Qu?n Bçnh TÉn,H? Ch° Minh,2021-11-24 11:01:51.260, 51.90 ," 91,225,134.00 ","10.810699, 106.606018"
14336,9,L2901b,14336,L2901b,+ V? tr°: 1 ???ng Tr?n Ph£,,82 Tr?n Ph£,Ph??ng L?c Th?,ThÖnh ph? Nha Trang,Kh†nh Hïa,2021-11-24 14:28:42.840," 3,619.50 "," 262,542,023.00 ","12.232082, 109.197921"
13987,9,L2627b,13987,L2627b,+ V? tr°: 1 ???ng Thóy VÉn,,"Lì B1a (Th?a 34, t? 75)",Ph??ng 8,ThÖnh ph? V?ng TÖu,BÖ R?a V?ng TÖu,2021-11-25 11:58:26.090, -   , -   ,"10.3517978, 107.1010566"
14583,9,L2627c,14583,L2627c,+ V? tr°: 1 ???ng Thóy VÉn,,"Lì B1b (Th?a 35, t? 75)",Ph??ng 8,ThÖnh ph? V?ng TÖu,BÖ R?a V?ng TÖu,2021-11-25 12:15:40.407," 1,861.20 "," 137,372,531.00 ","10.351815, 107.101417"
14533,9,L3056,14533,L3056,+ V? tr°: 1 ???ng Ph?m V?n ??ng,,"Th?a 57, t? 30",Th? tr?n ChÉu ?,Huy?n Bçnh S?n,Qu?ng Ng?i,2021-11-25 15:29:51.960, 80.10 ," 48,683,458.00 ","15.296217, 108.761272 "
14339,9,L2906a,14339,L2906a,+ V? tr°: 1,,"th?a 15,16, 17, t? 50, thìn 8",X? Nam Bçnh,Huy?n D?k Song,??k Nìng,2021-11-26 11:38:45.630, 400.00 ," 767,188.00 ","12.31066, 107.58265"
14340,9,L2906b,14340,L2906b,+ V? tr°: 1 Ql 14,,"Th?a 5,6,7a, t? 51, thìn 8",X? Nam Bçnh,Huy?n D?k Song,??k Nìng,2021-11-26 14:22:10.897," 1,200.00 "," 1,033,721.00 ","12.3044, 107.58913"
14252,9,L1651,14252,L1651,+ V? tr°: 1,,"Th?a 511, t? 2",Ph??ng 7,ThÖnh ph? V?ng TÖu,BÖ R?a V?ng TÖu,2021-11-29 14:12:00.680, 100.00 ," 81,919,580.00 ","10.365579, 107.082817"
14439,9,L2970,14439,L2970,+ V? tr°: 1,,"Th?a 2255, t? 139",Ph??ng Thu?n Giao,ThÖnh ph? Thu?n An,Bçnh D??ng,2021-11-30 17:57:28.607," 4,272.10 "," 8,071,177.00 ","10.957463, 106.708782"
14212,9,L2808a,14212,L2808a,+ V? tr°: 1 (M?t ti?n ???ng Nguy?n Gia Tr°),,118 ???ng D2,Ph??ng 25,Qu?n Bçnh Th?nh,H? Ch° Minh,2021-12-01 11:22:19.413, 84.00 ," 303,646,477.00 ","10.804719, 106.715994"
14256,9,L2844,14256,L2844,+ V? tr°: 1,,"M?t ph?n nhÖ 2A ???ng s? 5, KP5",Ph??ng Tr??ng Th?,Qu?n Th? ??c,H? Ch° Minh,2021-12-01 16:44:28.170, 54.60 ," 57,423,218.00 ","10.842135, 106.763057"
11556,9,L2298,11556,L2298,"+ V? tr°: 1, m?t ti?n Qu?c L? 1A",,8 th?a ??t MT Qu?c l? 1,Th? tr?n TÉn T£c,Huy?n Bçnh Ch†nh,H? Ch° Minh,2021-12-01 18:33:14.743, 813.00 ," 13,025,422.00 ","10.678463, 106.585073"
14568,7,L3068a,14568,L3068a,+ V? tr°: 1,,"Th?a 253, t? 12 vÖ Th?a 450, t? 14, Thìn TÉn Ph?",X? Tri?u ?i,Huy?n Tri?u Phong,Qu?ng Tr?,2021-12-02 15:21:24.780," 2,340.00 "," 3,560,939.00 ","16.770238, 107.128249"
14752,7,L3068e,14752,L3068e,+ V? tr°: 1,,"Th?a 415, t? 14; Th?a 248, t? 12 vÖ Th?a 290, t? 18, thìn TÉn Ph?",X? Tri?u ?i,Huy?n Tri?u Phong,Qu?ng Tr?,2021-12-02 15:49:24.457," 1,112.00 "," 3,823,659.00 ","16.770763, 107.127741"
14456,9,L2987,14456,L2987,+ V? tr°: 1 (M?t ti?n ???ng X¢m Vìi),,22 X¢m Vìi,Ph??ng 14, Qu?n 5,H? Ch° Minh,2021-12-02 18:07:02.727, 72.50 ," 202,281,073.00 ","10.752562,106.651859"
14739,9,L3174,14739,L3174,+ V? tr°: 1,,40 TÉn L?p 1,Ph??ng Hi?p Ph£, Qu?n 9,H? Ch° Minh,2021-12-08 12:19:52.123, 99.00 ," 116,681,363.00 ","10.847832, 106.778336"
14249,9,L2837,14249,L2837,+ V? tr°: 1 (M?t ti?n ???ng V? V?n B°ch),,"Th?a 334, t? 30",X? Bçnh M?,Huy?n C? Chi,H? Ch° Minh,2021-12-08 15:45:33.627," 6,517.90 "," 9,403,087.00 ","10.94050850, 106.61775906"
14786,9,L3215,14786,L3215,+ V? tr°: 1,,"Th?a 1083, t? 45",Ph??ng An Ph£, Qu?n 2,H? Ch° Minh,2021-12-08 16:42:16.017, 100.00 ," 205,293,149.00 ","10.796608, 106.740556"
14429,9,L2971,14429,L2971,+ V? tr°: 1,,189 Hi?p Bçnh,Ph??ng Hi?p Bçnh Ch†nh,Qu?n Th? ??c,H? Ch° Minh,2021-12-09 20:48:43.893, 161.30 ," 123,743,675.00 ","10.845196, 106.726972"
14787,9,L3216,14787,L3216,+ V? tr°: 1 (M?t ti?n ???ng C?ng Hïa),,8 C?ng Hïa,Ph??ng 4,Qu?n TÉn Bçnh,H? Ch° Minh,2021-12-11 18:19:17.343, 69.86 ," 166,110,608.00 ","10.8009116, 106.6610456"
14882,9,L3302,14882,L3302,+ V? tr°: 1 (M?t ti?n ???ng V?nh H?i (?o?n t? Tìn ??n ??n Kh†nh H?i)),,128 ???ng s? 14,Ph??ng 4, Qu?n 4,H? Ch° Minh,2021-12-13 15:02:40.007, 68.56 ," 219,767,081.00 ","10.756115,106.705055"
14859,9,L3280,14859,L3280,"+ V? tr°: 1, m?t ti?n ???ng s? 22",,"Th?a 631, t? 9",Ph??ng Bçnh H?ng Hïa,Qu?n Bçnh TÉn,H? Ch° Minh,2021-12-13 17:23:10.260, 100.00 ," 71,346,355.00 ","10.8193, 106.6095"
13667,9,L2391b,13667,L2391b,+ V? tr°: 1,,52 Là V?n Vi?t,Ph??ng Hi?p Ph£, Qu?n 9,H? Ch° Minh,2021-12-14 11:30:49.913, 70.30 ," 243,193,074.00 ","10.847275, 106.776340"
13668,9,L2391d,13668,L2391d,+ V? tr°: 1 ???ng s? 12,,"Th?a 512, t? 31, kp2",Ph??ng T?ng Nh?n Ph£ B, Qu?n 9,H? Ch° Minh,2021-12-15 09:10:50.757, 85.00 ," 83,504,263.00 ","10.838112, 106.775322"
14768,9,L3199b,14768,L3199b,+ V? tr°: 1 ???ng Ph?m V?n Ch°,,517-517A Ph?m V?n Ch°,Ph??ng 7, Qu?n 6,H? Ch° Minh,2021-12-15 09:35:31.140, 381.70 ," 150,007,983.00 ","10.741695, 106.641313"
14761,9,L3194b,14761,L3194b,+ V? tr°: 1,,"Th?a 2286, t? 12 (4DH)",Ph??ng ?ìng Hïa,ThÖnh Ph? D? An,Bçnh D??ng,2021-12-15 10:20:38.663, 89.40 ," 55,496,437.00 ","10.891359, 106.790274"
14762,9,L3194c,14762,L3194c,+ V? tr°: 1,,"TH?a 2285, t? 12 (4DH)",Ph??ng ?ìng Hïa,ThÖnh Ph? D? An,Bçnh D??ng,2021-12-15 11:01:19.740, 75.20 ," 49,374,746.00 ","10.891418, 106.790278"
14821,9,L3251,14821,L3251,"+ V? tr°: 1, M?t ti?n ???ng Nguy?n XuÉn Kho†t ",,MPN 21 Nguy?n XuÉn Kho†t,Ph??ng TÉn ThÖnh,Qu?n TÉn Ph£,H? Ch° Minh,2021-12-21 12:41:40.043, 77.40 ," 106,182,017.00 ","10.7947, 106.6344"
14831,9,L3252,14831,L3252,"+ V? tr°: 1, m?t ti?n ???ng Nguy?n Minh HoÖng",,43 Nguy?n Minh HoÖng,Ph??ng 12,Qu?n TÉn Bçnh,H? Ch° Minh,2021-12-21 15:36:15.187, 81.80 ," 177,042,634.00 ","10.800053, 106.650372"
14437,9,L2969a,14437,L2969a,+ V? tr°: 1,,"Th?a 213, t? 33",X? Cam H?i TÉy,Huy?n Cam LÉm,Kh†nh Hïa,2021-12-22 09:05:55.280, -   , -   ,"12.075328, 109.165896"
14438,9,L2969b,14438,L2969b,+ V? tr°: 1,,"Th?a 266 + 267, t? 33",X? Cam H?i TÉy,Huy?n Cam LÉm,Kh†nh Hïa,2021-12-22 09:06:51.913, 100.00 ," 16,395,779.00 ","12.075464, 109.166910"
14438,9,L2969b,14438,L2969b,+ V? tr°: 1,,"Th?a 266 + 267, t? 33",X? Cam H?i TÉy,Huy?n Cam LÉm,Kh†nh Hïa,2021-12-22 09:06:51.913, 100.00 ," 16,395,779.00 ","12.075464, 109.166910"
14512,9,L3033,14512,L3033,"+ V? tr°: 1 (M?t ti?n ???ng ???ng s? 1E, Khu dÉn c? Trung S?n)",,"39 ???ng s? 1E, KDC Trung S?n",X? Bçnh H?ng,Huy?n Bçnh Ch†nh,H? Ch° Minh,2021-12-22 16:01:53.773, 200.00 ," 109,745,041.00 ","10.733525,106.691936"
11370,9,L2170,11370,L2170,+ V? tr°: 1 (M?t ti?n ???ng Calmette),,129 Calmette,Ph??ng Nguy?n Th†i Bçnh, Qu?n 1,H? Ch° Minh,2021-12-23 12:28:28.807, 68.14 ," 531,725,789.00 ","10.768799072117298, 106.69835263307345"
15066,9,L3447,15066,L3447,"+ V? tr°: 1 (M?t ti?n ???ng ???ng s? 7, Khu dÉn c? Trung S?n)",,"Th?a 829-6, t? 5",X? Bçnh H?ng,Huy?n Bçnh Ch†nh,H? Ch° Minh,2021-12-23 15:24:17.067, 148.00 ," 125,279,927.00 ","10.738958879444217, 106.69159476372207"
14820,9,L3243,14820,L3243,+ V? tr°: 1 ???ng n?i b?,,"Th?a 620, t? 1",X? Bçnh L?i,Huy?n Bçnh Ch†nh,H? Ch° Minh,2021-12-27 10:01:34.290, 88.10 ," 18,579,767.00 ","10.7921, 106.5067"
15107,9,L3481,15107,L3481,+ V? tr°: 1 ???ng V??n LÖi,,"Th?a 636, t? 53",Ph??ng An Ph£ ?ìng, Qu?n 12,H? Ch° Minh,2021-12-27 14:29:04.283, 187.58 ," 78,671,201.00 ","10.845578, 106.693209"
14688,9,L3118a,14688,L3118a,"+ V? tr°: 1, ???ng n?i b? KDC H?ng Long",,40 lì ??t ?p 2,X? C?a C?n,Huy?n Ph£ Qu?c,Kiàn Giang,2021-12-27 16:04:36.950, 503.40 ," 3,219,846.00 ","10.308378, 103.952380"
15017,9,L3403,15017,L3403,+ V? tr°: 1 ???ng s? 21,,"45A ???ng S? 21, KP 1",Ph??ng Bçnh Chi?u,Qu?n Th? ??c,H? Ch° Minh,2021-12-27 16:49:12.703, 102.90 ," 55,546,185.00 ","10.880398, 106.732582"
15083,9,L3461,15083,L3461,+ V? tr°: 1 (M?t ti?n ???ng ???ng s? 18),,"MPN 54 ???ng s? 18, kp3",Ph??ng Hi?p Bçnh Ch†nh,Qu?n Th? ??c,H? Ch° Minh,2021-12-28 11:40:44.103, 65.90 ," 98,623,488.00 ","10.825858049246369, 106.71907562560365"
14342,9,L2910,14342,L2910,"+ V? tr°: 1, m?t ti?n n?i b? KCN ??ng An 2",,"Th?a 164, t? 1, KCN ??ng An 2",Ph??ng Hïa Ph£,ThÖnh ph? Th? D?u M?t,Bçnh D??ng,2021-12-28 17:17:15.353," 11,840.60 "," 3,257,579.00 ","11.10593, 106.67063"
14885,9,L3301,14885,L3301,"+ V? tr°: 1, M?t ti?n ???ng n?i b? KDC Dragon Village",,E03 Dragon Village,Ph??ng Ph£ H?u, Qu?n 9,H? Ch° Minh,2021-12-28 17:33:48.790, 105.00 ," 44,610,718.00 ","10.787753, 106.809128"
15138,9,L3511,15138,L3511,+ V? tr°: 1 (M?t ti?n ???ng Nguy?n Thanh Tuy?n),,96A Nguy?n Thanh Tuy?n,Ph??ng 2,Qu?n TÉn Bçnh,H? Ch° Minh,2021-12-28 18:25:35.930, 123.00 ," 156,108,423.00 ","10.7968489, 106.6610117"
14712,9,L3163,14712,L3163,+ V? tr°: 1 (M?t ti?n ???ng M?c ??nh Chi),,23 M?c ??nh Chi,Ph??ng ?a Kao, Qu?n 1,H? Ch° Minh,2021-12-29 11:27:45.613, 66.16 ," 448,581,128.00 ","10.784748,106.699433"
15167,9,L3534,15167,L3534,+ V? tr°: 1 (M?t ti?n ???ng Ph?m H?u L?u),,217 Ph?m H?u L?u,Ph??ng Ph£ M?, Qu?n 7,H? Ch° Minh,2021-12-29 12:34:34.050, 107.80 ," 114,648,815.00 ","10.704242, 106.730957"
11191,9,L2045,11191,L2045,+ V? tr°: 1 (M?t ti?n ???ng Bói Th? XuÉn),,90 Bói Th? XuÉn,Ph??ng B?n ThÖnh, Qu?n 1,H? Ch° Minh,2021-12-30 17:07:59.337, 83.50 ," 618,544,960.00 ","10.771118, 106.689520"
15078,9,L3458,15078,L3458,"+ V? tr°: 1, m?t ti?n ???ng s? 1",,"31 ???ng s? 1, kp9",Ph??ng Bçnh H?ng Hïa A,Qu?n Bçnh TÉn,H? Ch° Minh,2022-01-04 12:14:20.950, 44.20 ," 73,066,826.00 ","10.784519, 106.606001"
15276,9,M0032,15276,M0032,+ V? tr°: 1,,"Th?a 106, t? 42",Ph??ng An Ph£, Qu?n 2,H? Ch° Minh,2022-01-04 17:09:20.347, 100.00 ," 181,245,776.00 ","10.798604, 106.733658"
14118,9,L2737,14118,L2737,"+ V? tr°: 1 ??t nìng nghi?p: v? tr° 2, x? lo?i 2??t ?: Khu v?c 2, v? tr° 1",,"Th?a 747, t? 17, ?p TrÉm VÖng 2",X? Thanh Ph??c,Huy?n Gï D?u,TÉy Ninh,2022-01-05 16:48:58.843, 125.00 ," 3,492,063.00 ","11.081076, 106.279517"
15189,9,L3551,15189,L3551,+ V? tr°: 1,,"Th?a 1070, t? 113",X? Ph??c TÉn,ThÖnh ph? Biàn Hïa,??ng Nai,2022-01-05 17:06:22.780, 108.00 ," 19,998,137.00 ","10.853685, 106.888485"
14918,9,L3319,14918,L3319,+ V? tr°: 1,,127 Bói Quang LÖ,Ph??ng 12,Qu?n Gï V?p,H? Ch° Minh,2022-01-10 16:12:15.027, 40.27 ," 95,711,396.00 ","10.834167, 106.642164"
15317,9,M0045c,15317,M0045c,"+ V? tr°: 1 (M?t ti?n ???ng s? 5 (D? †n 131ha), ph??ng An Ph£)",,"Th?a 131, t? 42",Ph??ng An Ph£, Qu?n 2,H? Ch° Minh,2022-01-11 13:53:27.690, 64.10 ," 203,309,881.00 ","10.797947306669275, 106.73346389825329"
15349,9,M0065,15349,M0065,"+ V? tr°: 1 (M?t ti?n ???ng ???ng s? 8, KP4, ph??ng Hi?p Bçnh Ph??c)",,"31 ???ng s? 8, kp4",Ph??ng Hi?p Bçnh Ph??c,Qu?n Th? ??c,H? Ch° Minh,2022-01-11 14:50:51.320, 63.02 ," 79,554,867.00 ","10.854121, 106.724449"
15489,9,L1646,15489,L1646,"+ V? tr°: 1, M?t ti?n ???ng Bói T? ToÖn",,5A Bói T? ToÖn,Ph??ng An L?c,Qu?n Bçnh TÉn,H? Ch° Minh,2022-01-13 14:40:21.813, 128.50 ," 79,320,761.00 ","10.732017, 106.614052"
15418,9,M0128a,15418,M0128a,+ V? tr°: 1,,"Th?a 513, t? 25",Ph??ng C†t L†i, Qu?n 2,H? Ch° Minh,2022-01-14 11:17:59.787, 160.00 ," 78,199,246.00 ","10.769275, 106.792289"
15418,9,M0128a,15418,M0128a,+ V? tr°: 1,,"Th?a 513, t? 25",Ph??ng C†t L†i, Qu?n 2,H? Ch° Minh,2022-01-14 11:17:59.787, 160.00 ," 78,199,246.00 ","10.774302, 106.795359"
15415,9,M0128b,15415,M0128b,+ V? tr°: 1,,N?n C5-07-101 khu t†i ??nh c? 50ha,Ph??ng C†t L†i, Qu?n 2,H? Ch° Minh,2022-01-14 11:28:38.683, 100.00 ," 63,000,000.00 ","10.769266, 106.792314"
15416,9,M0128c,15416,M0128c,+ V? tr°: 1,,N?n C5-07-102 khu t†i ??nh c? 50ha,Ph??ng C†t L†i, Qu?n 2,H? Ch° Minh,2022-01-14 11:40:10.150, 100.00 ," 63,000,000.00 ","10.769300, 106.792370"
15144,9,L3515,15144,L3515,+ V? tr°: 1 (M?t ti?n ???ng ???ng n?i b? Khu Ph£ M? H?ng),,"21 ???ng M? Giang 2B, kp M? Giang 2",Ph??ng TÉn Phong, Qu?n 7,H? Ch° Minh,2022-01-14 15:41:04.153, 126.00 ," 202,150,205.00 ","10.722295, 106.716274"
15310,9,M0036b,15310,M0036b,+ V? tr°: 1 ???ng s? 2 KCN TÉn ?ìng Hi?p B,,"Th?a 97, t? 5, KCN TÉn ?ìng Hi?p B",Ph??ng TÉn ?ìng Hi?p,ThÖnh Ph? D? An,Bçnh D??ng,2022-01-14 16:09:36.953," 3,112.30 "," 7,640,582.00 ","10.926751, 106.785779"
16408,9,M0220,16408,M0220,+ V? tr°: 1,,32/26/1 T?ng V?n Hàn,Ph??ng 15,Qu?n TÉn Bçnh,H? Ch° Minh,2022-01-17 11:32:29.600, 186.50 ," 56,498,473.00 ","10.8218365, 106.6323288"
15322,9,M0048,15322,M0048,+ V? tr°: 1,,"Th?a 2019, t? 37",Th? tr?n Lai Uyàn,Huy?n BÖu BÖng,Bçnh D??ng,2022-01-17 15:30:06.380, 100.00 ," 2,925,299.00 ","11.282584, 106.637471"
15496,9,M0194,15496,M0194,"+ V? tr°: 1, M?t ti?n ???ng TÉn S?n Hïa",,46 TÉn S?n HoÖ,Ph??ng 2,Qu?n TÉn Bçnh,H? Ch° Minh,2022-01-17 15:41:28.767, 55.67 ," 190,980,993.00 ","10.795814, 106.662803"
15438,9,M0132,15438,M0132,"+ V? tr°: 1, m?t ti?n ???ng Phan V?n S?u",,40 Phan V?n S?u,Ph??ng 13,Qu?n TÉn Bçnh,H? Ch° Minh,2022-01-17 16:15:08.277, 39.80 ," 140,464,928.00 ","10.8058804,106.6392812"
15370,9,M0091,15370,M0091,+ V? tr°: 1,,121A kp2,Ph??ng Ph??c Long B, Qu?n 9,H? Ch° Minh,2022-01-17 17:00:05.877, 110.30 ," 171,437,540.00 ","10.830380, 106.768050"
15482,9,M0177,15482,M0177,"+ V? tr°: 1, M?t ti?n ???ng n?i b? KDC Dragon Village",,A-34 KDC Dragon Village,Ph??ng Ph£ H?u, Qu?n 9,H? Ch° Minh,2022-01-18 11:21:26.257, 90.00 ," 45,752,089.00 ","10.784764, 106.811185"
15332,9,M0054a,15332,M0054a,+ V? tr°: 1 (M?t ti?n ???ng ? Lan),,"MPN 49 ? Lan (Th?a 329, t? 14)",Ph??ng Hi?p TÉn,Qu?n TÉn Ph£,H? Ch° Minh,2022-01-18 14:23:24.417, 88.77 ," 100,390,134.00 ","10.775592, 106.631618"
15331,9,M0054b,15331,M0054b,+ V? tr°: 1 (M?t ti?n ???ng ? Lan),,"MPN 49 ? Lan (Th?a 330, t? 14)",Ph??ng Hi?p TÉn,Qu?n TÉn Ph£,H? Ch° Minh,2022-01-18 14:28:38.063, 89.35 ," 100,390,134.00 ","10.775596, 106.631655"
15329,9,M0054c,15329,M0054c,+ V? tr°: 1 (M?t ti?n ???ng ? Lan),,"MPN 49 ? Lan (Th?a 331, t? 14)",Ph??ng Hi?p TÉn,Qu?n TÉn Ph£,H? Ch° Minh,2022-01-18 14:38:51.697, 91.77 ," 100,390,134.00 ","10.775577, 106.631725"
15328,9,M0054d,15328,M0054d,+ V? tr°: 1 (M?t ti?n ???ng ? Lan),,47 ? Lan,Ph??ng Hi?p TÉn,Qu?n TÉn Ph£,H? Ch° Minh,2022-01-18 14:48:34.913, 96.50 ," 100,390,134.00 ","10.775548, 106.631763"
14240,9,L2827,14240,L2827,+ V? tr°: 1 (M?t ti?n ???ng Là Th? Ch?),,H?m 1333 Hu?nh T?n Ph†t,Ph??ng Ph£ Thu?n, Qu?n 7,H? Ch° Minh,2022-01-20 10:03:55.337, 63.80 ," 92,054,209.00 ","10.7163790, 106.7390390"
15265,9,M0019,15265,M0019,+ V? tr°: 1,,"Th?a 58, 132, t? 5",Ph??ng Th?nh XuÉn, Qu?n 12,H? Ch° Minh,2022-01-21 14:07:59.387," 4,837.80 "," 4,260,082.00 ","10.887653, 106.672957"
15473,9,M0173,15473,M0173,+ V? tr°: 1,,"Th?a 386+387, t? 18, thìn Thanh Linh",X? TÉn Ph??c,Th? x? La Gi,Bçnh Thu?n,2022-01-21 16:38:45.403, 334.90 ," 12,968,273.00 ","10.645941, 107.732497"
16529,9,M0272,16529,M0272,+ V? tr°: 1,,"19 ???ng s? 44, kp5",Ph??ng Th?o ?i?n, Qu?n 2,H? Ch° Minh,2022-01-25 15:52:44.117, 555.70 ," 140,118,746.00 ","10.807716, 106.729027"
15396,9,M0103,15396,M0103,+ V? tr°: 1 (M?t ti?n ???ng ???ng t?nh 763 - ?o?n t? Tr??ng THCS Ph£ T£c ??n h?t tr??ng Ti?u h?c V? Th? S†u),,"Th?a 161, t? 45, ?p Tam Bung",X? Ph£ T£c,Huy?n ??nh Qu†n,??ng Nai,2022-01-26 14:10:48.290, 500.00 ," 2,691,446.00 ","11.071644, 107.244686"
16414,9,M0217,16414,M0217,"+ V? tr°: 1 (M?t ti?n ???ng ???ng s? 12, ph??ng Bçnh An)",,"35A ???ng 12, kp4",Ph??ng Bçnh An, Qu?n 2,H? Ch° Minh,2022-01-27 12:05:11.250, 69.20 ," 150,405,814.00 ","10.791893, 106.733023"
16620,9,M0362,16620,M0362,+ V? tr°: 1 (MT ???ng 50 KDC The Venica Khang ?i?n),,"24 ???ng 50, kp2",Ph??ng Ph£ H?u, Qu?n 9,H? Ch° Minh,2022-01-27 17:20:34.053, 250.00 ," 125,352,274.00 ","10.794542, 106.783670"
16589,9,M0338,16589,M0338,+ V? tr°: 1 (M?t ti?n ???ng ???ng n?i b? khu dÉn c? Ven sìng (???ng l? gi?i <16m)),,"th?a 401, t? 29",Ph??ng TÉn Phong, Qu?n 7,H? Ch° Minh,2022-01-28 10:05:56.020, 131.50 ," 134,376,374.00 ","10.727017874547442, 106.6923924192048"
16517,9,M0293a,16517,M0293a,"+ V? tr°: 1, m?t ti?n ???ng s? 8 n?i dÖi",,"Th?a 619, t? 2",Th? tr?n Ch?n ThÖnh,Huy?n Ch?n ThÖnh,Bçnh Ph??c,2022-01-28 16:31:09.743," 10,337.00 "," 1,718,086.00 ","11.454299, 106.610747"
16578,9,M0333,16578,M0333,+ V? tr°: 1 (M?t ti?n ???ng Nguy?n ?çnh Chi?u),,260 Nguy?n ?çnh Chi?u,Ph??ng 6, Qu?n 3,H? Ch° Minh,2022-02-08 17:20:12.820, 142.10 ," 462,536,363.00 ","10.776633,106.688027"
16536,9,M0270c,16536,M0270c,+ V? tr°: 1 (MT ???ng 179),,"Th?a 575+576, t? 38",Ph??ng TÉn Ph£, Qu?n 9,H? Ch° Minh,2022-02-15 09:33:26.070, 131.70 ," 50,679,792.00 ","10.857520, 106.812721"
16406,9,M0216,16406,M0216,+ V? tr°: 1 (M?t ti?n ???ng TÉn Th?i Hi?p 07),,"Th?a 155, t? 2",Ph??ng TÉn Th?i Hi?p, Qu?n 12,H? Ch° Minh,2022-02-16 09:25:24.303, 69.30 ," 76,967,457.00 ","10.868391, 106.639676"
14284,9,L2862d,14284,L2862d,"+ V? tr°: 1, M?t ti?n ???ng s? 1",,40 ???ng s? 1,Ph??ng TÉn T?o A,Qu?n Bçnh TÉn,H? Ch° Minh,2022-02-17 17:55:23.277, 103.20 ," 45,496,648.00 ","10.758330, 106.573836"
16538,9,M0306,16538,M0306,"+ V? tr°: 1, M?t ti?n ???ng n?i b? KDC Dragon Village",,lì D-71 KDC Dragon Village,Ph??ng Ph£ H?u, Qu?n 9,H? Ch° Minh,2022-02-18 15:01:11.943, 125.86 ," 43,410,985.00 ","10.788470, 106.811341"
16634,9,M0380,16634,M0380,+ V? tr°: 1 (MT ???ng 66-CL),,"Th?a 1002, t? 32",Ph??ng C†t L†i, Qu?n 2,H? Ch° Minh,2022-02-21 18:01:11.723, 119.00 ," 59,261,813.00 ","10.772787, 106.792599"
16693,9,M0424,16693,M0424,"+ V? tr°: 1 (M?t ti?n ???ng ???ng s? 3, ph??ng Bçnh Tr?ng TÉy)",,"S? 15B ???ng s? 3, KP1",Ph??ng Bçnh Tr?ng TÉy, Qu?n 2,H? Ch° Minh,2022-02-21 18:13:46.133, 49.30 ," 83,302,960.00 ","10.789415, 106.758685"
16899,9,M0573,16899,M0573,+ V? tr°: 1,,"30 ???ng 4, KNO V?n Ph£c 1",Ph??ng Hi?p Bçnh Ph??c,Qu?n Th? ??c,H? Ch° Minh,2022-02-22 16:27:03.717, 111.00 ," 115,734,801.00 ","10.841414253673388, 106.71373603336896"
15204,9,L3565b,15204,L3565b,+ V? tr°: 1 (M?t ti?n ???ng ???ng s? 18),,"68 ???ng s? 18, kp3",Ph??ng Hi?p Bçnh Ch†nh,Qu?n Th? ??c,H? Ch° Minh,2022-02-22 17:40:22.017, 159.50 ," 91,646,645.00 ","10.824718, 106.719198"
16621,9,M0364,16621,M0364,+ V? tr°: 1 tr?t + 2 l?u (ch?a hoÖn cìng),,"Th?a 810, t? 24",Ph??ng T?ng Nh?n Ph£ B, Qu?n 9,H? Ch° Minh,2022-02-23 17:37:57.297, 57.40 ," 61,408,378.00 ","10.837717, 106.784225"
15319,9,M0047a,15319,M0047a,+ V? tr°: 1,,"Th?a 1491, t? 23, kp1",X? TÉn Khai,Huy?n H?n Qu?n,Bçnh Ph??c,2022-02-23 17:57:16.763, 244.90 ," 8,430,884.00 ","11.561718, 106.614739"
