idhs,tinhtrang,mahs,idhs,mahs,vitri,,diachi,phuongxa,quanhuyen,tinhtp,ngaylap, dato_dientich , dato_dongia ,toadomaps
11264,9,L2092,11264,L2092,+ V? tr°: 1 (M?t ti?n ???ng Tr??ng Sa (Ven Kành Nhiàu L?c Th? Nghä)),,644 Tr??ng Sa,Ph??ng 17,Qu?n Ph£ Nhu?n,H? Ch° Minh,2021-10-20 21:47:48.103, 118.60 ," 230,450,844.00 ","10.792821,106.684058"
11444,9,L2226,11444,L2226,+ V? tr°: 1 (M?t ti?n ???ng Nguy?n Th? Hu?nh),,23 Nguy?n Th? Hu?nh,Ph??ng 8,Qu?n Ph£ Nhu?n,H? Ch° Minh,2021-10-21 12:11:41.997, -   , -   ,"10.796728, 106.676329"
13923,9,L2578,13923,L2578,+ V? tr°: 1 ???ng L?u Ch° Hi?u,,6D L?u Ch° Hi?u,Ph??ng TÉy Th?nh,Qu?n TÉn Ph£,H? Ch° Minh,2021-10-21 15:00:37.550, 160.00 ," 99,904,535.00 ","10.8158, 106.6237"
13922,9,L2577,13922,L2577,+ V? tr°: 1 Tr??ng Ph??c Phan,,86 Tr??ng Ph??c Phan,Ph??ng Bçnh Tr? ?ìng,Qu?n Bçnh TÉn,H? Ch° Minh,2021-10-21 17:13:11.370, 139.10 ," 87,834,104.00 ","10.761368816014173, 106.6119224797639"
13754,9,L2446,13754,L2446,+ V? tr°: 1,,269 Nguy?n Th? Th?p,Ph??ng TÉn Ph£, Qu?n 7,H? Ch° Minh,2021-10-22 11:27:35.160, 95.67 ," 250,006,745.00 ","10.738241, 106.716540"
11350,9,L2152,11350,L2152,+ V? tr°: 1 (M?t ti?n ???ng ?i?n Biàn Ph? (n?m d??i d? c?u)),,MPB 398 Ung V?n Khiàm,Ph??ng 25,Qu?n Bçnh Th?nh,H? Ch° Minh,2021-10-24 21:09:35.330, 215.40 ," 273,889,468.00 ",
11554,9,L2297a,11554,L2297a,+ V? tr°: 1,,R1-33 H?ng Gia 5,Ph??ng TÉn Phong, Qu?n 7,H? Ch° Minh,2021-10-25 22:12:33.817, 194.40 ," 281,563,040.00 ","10.733876, 106.708599"
13694,9,L2405,13694,L2405,+ V? tr°: 1 ???ng 310A,,"11 ???ng 310A, KNO Cty Gia Ph??c, kp4",Ph??ng Ph£ H?u, Qu?n 9,H? Ch° Minh,2021-10-27 10:51:04.317, 91.30 ," 52,715,161.00 ","10.786560, 106.805838"
14016,9,L2655,14016,L2655,+ V? tr°: 1 (M?t ti?n ???ng TÉn S?n),,677 TÉn S?n,Ph??ng 12,Qu?n Gï V?p,H? Ch° Minh,2021-10-29 12:02:13.523, 62.80 ," 117,893,467.00 ","10.8350148999, 106.645264126"
13690,9,L2400,13690,L2400,"+ V? tr°: 1, m?t ti?n ???ng ?ng N??c Thì",,"th?a 1864, t? 4DH, kp TÉn HoÖ",Ph??ng ?ìng Hïa,ThÖnh Ph? D? An,Bçnh D??ng,2021-10-29 21:00:10.760, 230.00 ," 31,446,727.00 ","10.890122, 106.789654"
13972,9,L2616b,13972,L2616b,+ V? tr°: 1,,"Th?a 1974, t? 19 (4)",Ph??ng L†i Thiàu,ThÖnh ph? Thu?n An,Bçnh D??ng,2021-10-30 13:21:17.070," 1,098.00 "," 29,428,997.00 ","10.906972, 106.709808"
13971,9,L2616a,13971,L2616a,+ V? tr°: 1,,"Th?a 1803, t? 19 (4)",Ph??ng L†i Thiàu,ThÖnh ph? Thu?n An,Bçnh D??ng,2021-10-30 13:23:26.260," 1,029.40 "," 27,501,739.00 ","10.907522, 106.709419"
13973,9,L2616c,13973,L2616c,+ V? tr°: 1,,"Th?a 1976, t? 19 (4)",Ph??ng L†i Thiàu,ThÖnh ph? Thu?n An,Bçnh D??ng,2021-10-30 13:24:55.523, 985.60 ," 28,645,653.00 ","10.906288, 106.709680"
